source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,genesymbol_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,genesymbol_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
P01584,P01588,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01584,IL1B,protein,18,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P08700,P01588,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P08700,IL3,protein,17,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P08887,P01588,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P08887,IL6R,protein,2,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,MCAM;Adhesome;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P15248,P01588,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P15248,IL9,protein,18,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P01588,EPO,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
Q9UEF7,Q9H1D0,TRUE,FALSE,TRUE,TRUE,FALSE,,2,TRIP:16239475;TRIP:18495742,TRIP,post_translational,16239475;18495742,2,1,1,ligand,ligand,OmniPath,generic,functional,resource_specific,Q9UEF7,KL,protein,3,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,Q9H1D0,TRPV6,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE
P60903,Q9H1D0,TRUE,FALSE,TRUE,TRUE,FALSE,,5,CellTalkDB:18187190;HPRD:12660155;TRIP:12660155;TRIP:16189514;TRIP:18187190,CellTalkDB;HPRD;TRIP,post_translational,12660155;16189514;18187190,3,3,3,ligand,ligand,OmniPath,generic,functional,resource_specific,P60903,S100A10,protein,2,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;Almen2009;HGNC;OmniPath,generic,functional,resource_specific,Q9H1D0,TRPV6,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE
P41220,Q9H1D0,FALSE,TRUE,TRUE,FALSE,TRUE,,1,TRIP:16895908,TRIP,post_translational,16895908,1,1,1,ligand,ligand,OmniPath,generic,functional,resource_specific,P41220,RGS2,protein,1,TRUE,FALSE,FALSE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,Q9H1D0,TRPV6,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE
P11487,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,Zhong2015;OmniPath,generic,functional,resource_specific,P11487,FGF3,protein,13,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P05019,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,Zhong2015;OmniPath,generic,functional,resource_specific,P05019,IGF1,protein,18,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P01344,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,talklr;connectomeDB2020;Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P01344,IGF2,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;EMBRACE;HPMR;CellChatDB;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P49771,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,talklr;connectomeDB2020;Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,P49771,FLT3LG,protein,16,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P21583,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,CellTalkDB;LRdb;OmniPath,generic,functional,resource_specific,P21583,KITLG,protein,16,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P01133,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,talklr;iTALK;EMBRACE;CellPhoneDB;ICELLNET;CellTalkDB;Ramilowski2015;LRdb;SignaLink_function;OmniPath,generic,functional,resource_specific,P01133,EGF,protein,17,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P01138,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR;Wang,post_translational,17306385,1,2,2,ligand,ligand,,generic,functional,resource_specific,P01138,NGF,protein,18,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P01135,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P01135,TGFA,protein,17,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P09603,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P09603,CSF1,protein,17,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,Zhong2015;HGNC;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P14210,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P14210,HGF,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P01308,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P01308,INS,protein,15,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P15514,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P15514,AREG,protein,17,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,connectomeDB2020;GO_Intercell;CellChatDB;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
Q9NRA1,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q9NRA1,PDGFC,protein,17,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;CellPhoneDB;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P04085,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P04085,PDGFA,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P01127,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P01127,PDGFB,protein,17,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P05230,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P05230,FGF1,protein,17,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HPMR;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P09038,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P09038,FGF2,protein,17,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P08620,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P08620,FGF4,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P21781,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P21781,FGF7,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P55075,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P55075,FGF8,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P31371,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P31371,FGF9,protein,15,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellChatDB;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
O15520,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,O15520,FGF10,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;CellPhoneDB;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P49765,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P49765,VEGFB,protein,18,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P20827,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P20827,EFNA1,protein,10,TRUE,FALSE,TRUE,FALSE,TRUE,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
O43921,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,O43921,EFNA2,protein,8,TRUE,FALSE,FALSE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P52803,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P52803,EFNA5,protein,10,TRUE,FALSE,FALSE,TRUE,TRUE,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P52797,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P52797,EFNA3,protein,7,TRUE,FALSE,FALSE,FALSE,FALSE,receptor,receptor,Surfaceome;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P52798,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P52798,EFNA4,protein,9,TRUE,FALSE,TRUE,TRUE,TRUE,receptor,receptor,talklr;connectomeDB2020;iTALK;EMBRACE;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
O15123,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,O15123,ANGPT2,protein,12,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
Q15389,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q15389,ANGPT1,protein,14,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
Q9Y264,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q9Y264,ANGPT4,protein,12,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
Q9GZP0,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q9GZP0,PDGFD,protein,14,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,MCAM;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
P10767,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,P10767,FGF6,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
O60258,Q16620,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SIGNOR:17306385,SIGNOR,post_translational,17306385,1,1,1,ligand,ligand,,generic,functional,resource_specific,O60258,FGF17,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,Q16620,NTRK2,protein,15,FALSE,TRUE,FALSE,TRUE,FALSE
